Region,Category,Feature,Label,Area_cnt,Area_ratio
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",Vietnamese,"113,154",2.2
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",Hindi,"76,308",1.5
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",null,null,null
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",English only used at home,"2,995,240",57.3
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",null,null,null
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",Households where a non-English language is used,"767,275",42.0
Greater Sydney,Income and work,Participation in the labour force,In the labour force,"2,560,242",60.0
Greater Sydney,Income and work,Participation in the labour force,Not in the labour force,"1,477,147",34.6
Greater Sydney,Income and work,Participation in the labour force,Not stated,"230,551",5.4
Greater Sydney,Income and work,Employment status,Worked full-time,"1,421,283",55.5
Greater Sydney,Income and work,Employment status,Worked part-time,"709,200",27.7
Greater Sydney,Income and work,Employment status,Away from work (a),"300,220",11.7
Greater Sydney,Income and work,Employment status,Unemployed,"129,539",5.1
Greater Sydney,Income and work,"Employment, hours worked",0 hours (away from work),"258,428",10.6
Greater Sydney,Income and work,"Employment, hours worked",1-19 hours,"315,046",13.0
Greater Sydney,Income and work,"Employment, hours worked",20-29 hours,"249,471",10.3
Greater Sydney,Income and work,"Employment, hours worked",30-34 hours,"144,687",6.0
Greater Sydney,Income and work,"Employment, hours worked",35-39 hours,"501,946",20.7
Greater Sydney,Income and work,"Employment, hours worked",40-44 hours,"532,150",21.9
Greater Sydney,Income and work,"Employment, hours worked",45 hours or more,"387,188",15.9
Greater Sydney,Income and work,"Occupation, top responses",Professionals,"711,729",29.3
Greater Sydney,Income and work,"Occupation, top responses",Managers,"368,876",15.2
Greater Sydney,Income and work,"Occupation, top responses",Clerical and Administrative Workers,"334,504",13.8
Greater Sydney,Income and work,"Occupation, top responses",Technicians and Trades Workers,"254,555",10.5
Greater Sydney,Income and work,"Occupation, top responses",Community and Personal Service Workers,"225,062",9.3
Greater Sydney,Income and work,"Occupation, top responses",Sales Workers,"188,556",7.8
Greater Sydney,Income and work,"Occupation, top responses",Labourers,"164,335",6.8
Greater Sydney,Income and work,"Occupation, top responses",Machinery Operators and Drivers,"136,033",5.6
Greater Sydney,Income and work,"Industry of employment, top responses",Hospitals (except Psychiatric Hospitals),"98,480",4.1
Greater Sydney,Income and work,"Industry of employment, top responses",Computer System Design and Related Services,"75,278",3.1
Greater Sydney,Income and work,"Industry of employment, top responses",Banking,"63,367",2.6
Greater Sydney,Income and work,"Industry of employment, top responses",Supermarket and Grocery Stores,"58,262",2.4
Greater Sydney,Income and work,"Industry of employment, top responses",Other Social Assistance Services,"48,853",2.0
Greater Sydney,Income and work,Median weekly incomes (a),Personal (b),$881,N/A
Greater Sydney,Income and work,Median weekly incomes (a),Family (c),"$2,374",N/A
Greater Sydney,Income and work,Median weekly incomes (a),Household (d),"$2,077",N/A
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses","Car, as driver","832,277",34.2
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses","Car, as passenger","63,954",2.6
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",Train,"60,858",2.5
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",Walked only,"56,206",2.3
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",Bus,"28,786",1.2
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",null,null,null
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",Did not go to work,"331,200",13.6
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",Worked at home,"944,501",38.9
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",null,null,null
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",People who travelled to work by public transport (a),"136,614",5.6
Greater Sydney,Income and work,"Method of travel to work on the day of the Census, top responses",People who travelled to work by car as driver or passenger (b),"919,990",37.8
Greater Sydney,Unpaid work and care,Unpaid work and care,Did unpaid domestic work (week before Census Night),"2,794,701",65.5
Greater Sydney,Unpaid work and care,Unpaid work and care,Provided unpaid care for child/children (during two weeks before Census Night),"1,074,352",25.2
Greater Sydney,Unpaid work and care,Unpaid work and care,"Provided unpaid assistance to a person with a disability, health condition or due to old age (during two weeks before Census Night)","454,470",10.6
Greater Sydney,Unpaid work and care,Unpaid work and care,Did voluntary work through an organisation or group (last 12 months),"496,302",11.6
Greater Sydney,Unpaid work and care,"Unpaid domestic work, number of hours",Less than 5 hours,"812,421",19.0
Greater Sydney,Unpaid work and care,"Unpaid domestic work, number of hours",5 to 14 hours,"1,112,892",26.1
Greater Sydney,Unpaid work and care,"Unpaid domestic work, number of hours",15 to 29 hours,"502,735",11.8
Greater Sydney,Unpaid work and care,"Unpaid domestic work, number of hours",30 hours or more,"366,649",8.6
Greater Sydney,Health,Type of long-term health condition,Arthritis,"351,254",6.7
Greater Sydney,Health,Type of long-term health condition,Asthma,"353,656",6.8
Greater Sydney,Health,Type of long-term health condition,Cancer (including remission),"126,140",2.4
Greater Sydney,Health,Type of long-term health condition,Dementia (including Alzheimer's),"35,663",0.7
Greater Sydney,Health,Type of long-term health condition,Diabetes (excluding gestational diabetes),"238,127",4.6
Greater Sydney,Health,Type of long-term health condition,Heart disease (including heart attack or angina),"175,348",3.4
Greater Sydney,Health,Type of long-term health condition,Kidney disease,"41,530",0.8
Greater Sydney,Health,Type of long-term health condition,Lung condition (including COPD or emphysema),"63,101",1.2
Greater Sydney,Health,Type of long-term health condition,Mental health condition (including depression or anxiety),"344,699",6.6
Greater Sydney,Health,Type of long-term health condition,Stroke,"39,140",0.7
Greater Sydney,Health,Type of long-term health condition,Any other long-term health condition(s),"386,233",7.4
Greater Sydney,Health,Type of long-term health condition,No long-term health condition(s),"3,404,909",65.1
Greater Sydney,Health,Type of long-term health condition,Not stated,"385,349",7.4
Greater Sydney,Health,Count of selected long-term health conditions,None of the selected conditions,"3,613,269",69.1
Greater Sydney,Health,Count of selected long-term health conditions,One condition,"871,599",16.7
Greater Sydney,Health,Count of selected long-term health conditions,Two conditions,"242,632",4.6
Greater Sydney,Health,Count of selected long-term health conditions,Three or more conditions,"118,293",2.3
Greater Sydney,Health,Count of selected long-term health conditions,Not stated,"385,349",7.4
Greater Sydney,Australian Defence Force service,Australian Defence Force Service,Currently serving,"13,193",0.3
Greater Sydney,Australian Defence Force service,Australian Defence Force Service,Previously served (and not currently serving),"55,054",1.3
Greater Sydney,Australian Defence Force service,Australian Defence Force Service,Has never served,"3,965,982",92.9
Greater Sydney,Australian Defence Force service,Australian Defence Force Service,Not stated,"233,705",5.5
Greater Sydney,Families,Family composition,Couple family without children,"480,444",34.8
Greater Sydney,Families,Family composition,Couple family with children,"667,760",48.4
Greater Sydney,Families,Family composition,One parent family,"208,478",15.1
Greater Sydney,Families,Family composition,Other family,"23,497",1.7
Greater Sydney,Families,Single (or lone) parents,Male,N/A,18.1
Greater Sydney,Families,Single (or lone) parents,Female,N/A,81.9
Greater Sydney,Families,Employment status of couple families,"Both employed, worked full-time","258,639",22.5
Greater Sydney,Families,Employment status of couple families,"Both employed, worked part-time","52,202",4.5
Greater Sydney,Families,Employment status of couple families,"One employed full-time, one part-time","189,592",16.5
Greater Sydney,Families,Employment status of couple families,"One employed full-time, other not working","155,507",13.5
Greater Sydney,Families,Employment status of couple families,"One employed part-time, other not working","72,963",6.4
Greater Sydney,Families,Employment status of couple families,Both not working,"245,327",21.4
Greater Sydney,Families,Employment status of couple families,Other,"137,048",11.9
Greater Sydney,Families,Employment status of couple families,Labour force status not stated,"36,915",3.2
Greater Sydney,Dwellings,Dwelling count,Occupied private dwellings,"1,828,859",91.7
Greater Sydney,Dwellings,Dwelling count,Unoccupied private dwellings,"164,628",8.3
Greater Sydney,Dwellings,Dwelling structure,Separate house,"1,020,631",55.8
Greater Sydney,Dwellings,Dwelling structure,"Semi-detached, row or terrace house, townhouse etc","234,000",12.8
Greater Sydney,Dwellings,Dwelling structure,Flat or apartment,"561,988",30.7
Greater Sydney,Dwellings,Dwelling structure,Other dwelling,"8,216",0.4
Greater Sydney,Dwellings,Number of bedrooms,None (includes studio apartments or bedsitters),"16,194",0.9
Greater Sydney,Dwellings,Number of bedrooms,1 bedroom,"147,857",8.1
Greater Sydney,Dwellings,Number of bedrooms,2 bedrooms,"470,207",25.7
Greater Sydney,Dwellings,Number of bedrooms,3 bedrooms,"565,467",30.9
Greater Sydney,Dwellings,Number of bedrooms,4 or more bedrooms,"605,424",33.1
Greater Sydney,Dwellings,Number of bedrooms,Number of bedrooms not stated,"23,713",1.3
Greater Sydney,Dwellings,Number of bedrooms,null,null,null
Greater Sydney,Dwellings,Number of bedrooms,Average number of bedrooms per dwelling,3,N/A
Greater Sydney,Dwellings,Number of bedrooms,Average number of people per household,2.7,N/A
Greater Sydney,Dwellings,Number of registered motor vehicles,None,"203,081",11.1
Greater Sydney,Dwellings,Number of registered motor vehicles,1 motor vehicle,"722,036",39.5
Greater Sydney,Dwellings,Number of registered motor vehicles,2 motor vehicles,"590,650",32.3
Greater Sydney,Dwellings,Number of registered motor vehicles,3 or more vehicles,"287,169",15.7
Greater Sydney,Dwellings,Number of registered motor vehicles,Number of motor vehicles not stated,"25,924",1.4
Greater Sydney,Housing,Household composition,Family households,"1,327,581",72.6
Greater Sydney,Housing,Household composition,Single (or lone) person households,"424,713",23.2
Greater Sydney,Housing,Household composition,Group households,"76,558",4.2
Greater Sydney,Housing,Tenure type,Owned outright,"507,635",27.8
Greater Sydney,Housing,Tenure type,Owned with a mortgage (a),"608,735",33.3
Greater Sydney,Housing,Tenure type,Rented (b),"657,317",35.9
Greater Sydney,Housing,Tenure type,Other tenure type (c),"30,961",1.7
Greater Sydney,Housing,Tenure type,Tenure type not stated,"24,207",1.3
Greater Sydney,Housing,Household income,Less than $650 total household weekly income (a),N/A,14.1
Greater Sydney,Housing,Household income,"More than $3,000 total household weekly income (a)",N/A,32.0
Greater Sydney,Housing,Rent weekly payments,Median rent (a),470,N/A
Greater Sydney,Housing,Rent weekly payments,null,null,null
Greater Sydney,Housing,Rent weekly payments,Renter households where rent payments are less than or equal to 30% of household income (b),"374,439",57.0
Greater Sydney,Housing,Rent weekly payments,Renter households with rent payments greater than 30% of household income (b),"231,957",35.3
Greater Sydney,Housing,Rent weekly payments,Unable to determine (c),"50,925",7.7
Greater Sydney,Housing,Mortgage monthly repayments,Median mortgage repayments,"2,427",N/A
Greater Sydney,Housing,Mortgage monthly repayments,null,null,null
Greater Sydney,Housing,Mortgage monthly repayments,Owner with mortgage households where mortgage repayments are less than or equal to 30% of household income (a),"425,045",69.8
Greater Sydney,Housing,Mortgage monthly repayments,Owner with mortgage households with mortgage repayments greater than 30% of household income (a),"120,485",19.8
Greater Sydney,Housing,Mortgage monthly repayments,Unable to determine (b),"63,203",10.4
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,People characteristics,Male,"44,979",49.5
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,People characteristics,Female,"45,959",50.5
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,People characteristics,null,null,null
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,People characteristics,Median age,24,N/A
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,Dwelling characteristics,Average number of people per household,3.1,N/A
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,Dwelling characteristics,Average number of people per bedroom,1,N/A
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,Dwelling characteristics,Median weekly household income (a),"1,779",N/A
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,Mortgage and rent,Median weekly rent (a),400,N/A
Greater Sydney,Aboriginal and/or Torres Strait Islander peoples,Mortgage and rent,Median monthly mortgage repayments,"2,167",N/A
Bidwill - Hebersham - Emerton,People and population,People,Male,"9,023",48.7
Bidwill - Hebersham - Emerton,People and population,People,Female,"9,510",51.3
Bidwill - Hebersham - Emerton,People and population,Indigenous status,Aboriginal and/or Torres Strait Islander,"1,892",10.2
Bidwill - Hebersham - Emerton,People and population,Indigenous status,Non-Indigenous,"14,686",79.2
Bidwill - Hebersham - Emerton,People and population,Indigenous status,Indigenous status not stated,"1,954",10.5
Bidwill - Hebersham - Emerton,People and population,Age,Median age,32,N/A
Bidwill - Hebersham - Emerton,People and population,Age,0-4 years,"1,459",7.9
Bidwill - Hebersham - Emerton,People and population,Age,5-9 years,"1,602",8.6
Bidwill - Hebersham - Emerton,People and population,Age,10-14 years,"1,587",8.6
Bidwill - Hebersham - Emerton,People and population,Age,15-19 years,"1,344",7.3
Bidwill - Hebersham - Emerton,People and population,Age,20-24 years,"1,330",7.2
Bidwill - Hebersham - Emerton,People and population,Age,25-29 years,"1,324",7.1
Bidwill - Hebersham - Emerton,People and population,Age,30-34 years,"1,217",6.6
Bidwill - Hebersham - Emerton,People and population,Age,35-39 years,"1,099",5.9
Bidwill - Hebersham - Emerton,People and population,Age,40-44 years,985,5.3
Bidwill - Hebersham - Emerton,People and population,Age,45-49 years,"1,092",5.9
Bidwill - Hebersham - Emerton,People and population,Age,50-54 years,"1,088",5.9
Bidwill - Hebersham - Emerton,People and population,Age,55-59 years,"1,010",5.4
Bidwill - Hebersham - Emerton,People and population,Age,60-64 years,934,5.0
Bidwill - Hebersham - Emerton,People and population,Age,65-69 years,805,4.3
Bidwill - Hebersham - Emerton,People and population,Age,70-74 years,771,4.2
Bidwill - Hebersham - Emerton,People and population,Age,75-79 years,470,2.5
Bidwill - Hebersham - Emerton,People and population,Age,80-84 years,277,1.5
Bidwill - Hebersham - Emerton,People and population,Age,85 years and over,143,0.8
Bidwill - Hebersham - Emerton,People and population,Registered marital status,Married,"5,083",36.6
Bidwill - Hebersham - Emerton,People and population,Registered marital status,Separated,697,5.0
Bidwill - Hebersham - Emerton,People and population,Registered marital status,Divorced,"1,102",7.9
Bidwill - Hebersham - Emerton,People and population,Registered marital status,Widowed,776,5.6
Bidwill - Hebersham - Emerton,People and population,Registered marital status,Never married,"6,228",44.9
Bidwill - Hebersham - Emerton,People and population,Social marital status,Registered marriage (a),"4,526",36.6
Bidwill - Hebersham - Emerton,People and population,Social marital status,De facto marriage (b),"1,084",8.8
Bidwill - Hebersham - Emerton,People and population,Social marital status,Not married,"6,764",54.7
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Preschool,335,5.0
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Primary,null,null
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Primary - Government,"1,473",22.0
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Primary - Catholic,225,3.4
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Primary - other non-Government,155,2.3
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Primary total (a),"1,861",27.8
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Secondary,null,null
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Secondary - Government,"1,020",15.3
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Secondary - Catholic,205,3.1
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Secondary - other non-Government,147,2.2
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Secondary total (b),"1,380",20.6
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Tertiary,null,null
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Tertiary - Vocational education (including TAFE and private training providers),398,6.0
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Tertiary - University or other higher education,442,6.6
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Tertiary total (c),837,12.5
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Other,135,2.0
Bidwill - Hebersham - Emerton,Education,Type of educational institution attending,Not stated,"2,134",31.9
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Bachelor Degree level and above,"1,162",8.4
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Advanced Diploma and Diploma level,794,5.7
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Certificate level IV,353,2.5
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Certificate level III,"1,498",10.8
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Year 12,"2,553",18.4
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Year 11,761,5.5
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Year 10,"2,366",17.0
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Certificate level II,18,0.1
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Certificate level I,6,0.0
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Year 9 or below,"1,803",13.0
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Inadequately described,325,2.3
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,No educational attainment,236,1.7
Bidwill - Hebersham - Emerton,Education,Level of highest educational attainment,Not stated,"2,010",14.5
Bidwill - Hebersham - Emerton,Cultural diversity,"Ancestry, top responses",Australian,"4,494",24.2
Bidwill - Hebersham - Emerton,Cultural diversity,"Ancestry, top responses",English,"4,078",22.0
Bidwill - Hebersham - Emerton,Cultural diversity,"Ancestry, top responses",Australian Aboriginal,"1,727",9.3
Bidwill - Hebersham - Emerton,Cultural diversity,"Ancestry, top responses",Samoan,"1,224",6.6
Bidwill - Hebersham - Emerton,Cultural diversity,"Ancestry, top responses",Filipino,908,4.9
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth, top responses",Australia,"10,817",58.4
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth, top responses",Other top responses:,null,null
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth, top responses",New Zealand,728,3.9
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth, top responses",Philippines,623,3.4
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth, top responses",Samoa,455,2.5
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth, top responses",Fiji,453,2.4
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth, top responses",Pakistan,258,1.4
Bidwill - Hebersham - Emerton,Cultural diversity,Country of birth of parents,Both parents born overseas,"8,125",43.8
Bidwill - Hebersham - Emerton,Cultural diversity,Country of birth of parents,Father only born overseas,"1,191",6.4
Bidwill - Hebersham - Emerton,Cultural diversity,Country of birth of parents,Mother only born overseas,627,3.4
Bidwill - Hebersham - Emerton,Cultural diversity,Country of birth of parents,Both parents born in Australia,"6,328",34.1
Bidwill - Hebersham - Emerton,Cultural diversity,Country of birth of parents,Not stated,"2,265",12.2
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of father, top stated responses",Australia,"6,980",37.7
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of father, top stated responses",Samoa,"1,054",5.7
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of father, top stated responses",Philippines,859,4.6
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of father, top stated responses",New Zealand,681,3.7
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of father, top stated responses",Fiji,669,3.6
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of mother, top stated responses",Australia,"7,608",41.0
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of mother, top stated responses",Samoa,932,5.0
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of mother, top stated responses",Philippines,922,5.0
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of mother, top stated responses",New Zealand,777,4.2
Bidwill - Hebersham - Emerton,Cultural diversity,"Country of birth of mother, top stated responses",Fiji,661,3.6
Bidwill - Hebersham - Emerton,Cultural diversity,"Religious affiliation, top responses","No Religion, so described","4,550",24.5
Bidwill - Hebersham - Emerton,Cultural diversity,"Religious affiliation, top responses",Catholic,"4,186",22.6
Bidwill - Hebersham - Emerton,Cultural diversity,"Religious affiliation, top responses",Not stated,"2,215",11.9
Bidwill - Hebersham - Emerton,Cultural diversity,"Religious affiliation, top responses",Anglican,"1,716",9.3
Bidwill - Hebersham - Emerton,Cultural diversity,"Religious affiliation, top responses",Islam,"1,621",8.7
